timestamp_s,frame,track_id,class,x1,y1,x2,y2,confidence
0.0,0,1,car,313,1058,752,1386,0.878
0.0,0,2,car,1445,925,1719,1146,0.841
0.0,0,3,car,1815,867,2110,1141,0.789
0.0,0,4,car,2343,748,2575,920,0.788
0.0,0,5,car,2221,656,2406,800,0.787
0.0,0,6,car,622,973,913,1212,0.78
0.0,0,7,car,1757,612,1904,734,0.762
0.0,0,8,car,1965,621,2097,729,0.741
0.0,0,9,car,1133,832,1395,1053,0.705
0.0,0,10,traffic sign,3022,168,3126,301,0.652
0.0,0,11,car,2579,748,2775,870,0.642
0.0,0,12,person,70,925,153,1132,0.61
0.0,0,13,car,1585,546,1654,591,0.482
0.0,0,14,car,1483,565,1550,613,0.456
0.0,0,15,car,2105,629,2182,701,0.452
0.0,0,16,car,2152,670,2235,740,0.435
0.0,0,17,car,2428,636,2543,697,0.431
0.0,0,18,traffic sign,2668,114,3024,301,0.423
0.0,0,19,car,739,911,994,1079,0.409
0.0,0,20,car,1655,496,1731,567,0.408
0.04,1,1,car,312,1059,752,1389,0.882
0.04,1,2,car,1440,920,1721,1147,0.819
0.04,1,3,car,1823,881,2104,1142,0.775
0.04,1,4,car,2347,754,2568,918,0.803
0.04,1,5,car,2219,655,2404,800,0.792
0.04,1,6,car,622,975,910,1211,0.803
0.04,1,7,car,1758,614,1903,735,0.76
0.04,1,8,car,1963,620,2096,729,0.749
0.04,1,9,car,1128,833,1394,1056,0.673
0.04,1,10,traffic sign,3024,171,3125,300,0.676
0.04,1,11,car,2566,735,2779,867,0.685
0.04,1,12,person,72,925,155,1135,0.616
0.04,1,13,car,1583,545,1654,591,0.522
0.04,1,14,car,1479,564,1549,614,0.403
0.04,1,16,car,2150,664,2238,739,0.427
0.04,1,17,car,2422,634,2546,700,0.453
0.04,1,18,traffic sign,2666,115,3020,301,0.495
0.08,2,1,car,310,1060,751,1390,0.873
0.08,2,2,car,1439,920,1721,1147,0.813
0.08,2,3,car,1824,882,2104,1142,0.768
0.08,2,4,car,2346,753,2566,916,0.802
0.08,2,5,car,2218,656,2402,799,0.798
0.08,2,6,car,620,975,909,1212,0.803
0.08,2,7,car,1759,614,1905,736,0.754
0.08,2,8,car,1962,620,2095,729,0.754
0.08,2,9,car,1127,834,1392,1057,0.699
0.08,2,10,traffic sign,3023,171,3125,300,0.629
0.08,2,11,car,2550,717,2788,866,0.72
0.08,2,12,person,74,925,158,1137,0.622
0.08,2,13,car,1582,544,1655,591,0.523
0.08,2,14,car,1479,565,1548,614,0.404
0.08,2,16,car,2147,656,2243,737,0.438
0.08,2,17,car,2417,633,2546,702,0.468
0.08,2,18,traffic sign,2665,115,3016,300,0.496
0.08,2,21,car,2408,691,2493,754,0.465
0.08,2,23,car,2496,688,2624,776,0.548
0.12,3,1,car,307,1060,752,1393,0.86
0.12,3,2,car,1440,921,1721,1147,0.808
0.12,3,3,car,1822,878,2107,1142,0.772
0.12,3,4,car,2347,755,2565,917,0.786
0.12,3,5,car,2217,656,2401,799,0.795
0.12,3,6,car,618,976,909,1214,0.79
0.12,3,7,car,1760,614,1907,737,0.75
0.12,3,8,car,1963,620,2096,729,0.768
0.12,3,9,car,1127,838,1392,1061,0.693
0.12,3,10,traffic sign,3023,169,3126,300,0.703
0.12,3,11,car,2551,721,2782,865,0.729
0.12,3,12,person,74,925,160,1140,0.588
0.12,3,16,car,2149,662,2239,738,0.46
0.12,3,17,car,2414,631,2546,702,0.481
0.12,3,18,traffic sign,2666,115,3023,303,0.443
0.12,3,21,car,2407,691,2494,755,0.418
0.12,3,23,car,2495,687,2629,780,0.489
0.16,4,1,car,305,1060,753,1398,0.854
0.16,4,2,car,1443,924,1720,1147,0.836
0.16,4,3,car,1822,878,2107,1143,0.777
0.16,4,4,car,2340,749,2565,916,0.718
0.16,4,5,car,2217,656,2400,798,0.79
0.16,4,6,car,614,977,907,1216,0.797
0.16,4,7,car,1760,616,1907,738,0.755
0.16,4,8,car,1963,621,2096,730,0.769
0.16,4,9,car,1123,842,1388,1065,0.688
0.16,4,10,traffic sign,3023,168,3126,300,0.703
0.16,4,11,car,2551,720,2780,865,0.721
0.16,4,12,person,74,923,162,1144,0.51
0.16,4,16,car,2150,664,2237,738,0.484
0.16,4,17,car,2408,631,2550,707,0.473
0.16,4,18,traffic sign,2666,115,3025,303,0.44
0.16,4,21,car,2407,683,2503,754,0.42
0.16,4,23,car,2497,687,2629,779,0.522
0.16,4,25,traffic light,1811,0,1913,174,0.404
0.2,5,1,car,304,1063,750,1399,0.859
0.2,5,2,car,1445,927,1719,1147,0.848
0.2,5,3,car,1817,869,2110,1141,0.784
0.2,5,4,car,2337,750,2559,914,0.648
0.2,5,5,car,2217,657,2398,799,0.781
0.2,5,6,car,613,978,907,1217,0.798
0.2,5,7,car,1762,618,1908,738,0.765
0.2,5,8,car,1963,621,2096,730,0.776
0.2,5,9,car,1120,846,1384,1068,0.697
0.2,5,10,traffic sign,3022,166,3126,299,0.694
0.2,5,11,car,2559,733,2766,864,0.745
0.2,5,16,car,2151,666,2235,738,0.503
0.2,5,17,car,2402,630,2553,711,0.466
0.2,5,18,traffic sign,2670,114,3025,301,0.464
0.2,5,21,car,2407,682,2506,754,0.457
0.2,5,23,car,2495,687,2629,780,0.591
0.2,5,25,traffic light,1811,0,1911,171,0.468
0.2,5,26,car,1373,592,1479,662,0.469
0.2,5,15,car,2102,631,2177,702,0.445
0.2,5,13,car,1589,536,1674,591,0.433
0.24,6,1,car,303,1066,746,1403,0.86
0.24,6,2,car,1446,928,1720,1148,0.84
0.24,6,3,car,1816,867,2111,1141,0.796
0.24,6,4,car,2335,752,2554,913,0.655
0.24,6,5,car,2217,657,2397,799,0.779
0.24,6,6,car,613,979,908,1218,0.799
0.24,6,7,car,1762,619,1909,740,0.72
0.24,6,8,car,1964,622,2096,729,0.777
0.24,6,9,car,1120,850,1380,1070,0.733
0.24,6,10,traffic sign,3017,159,3126,298,0.661
0.24,6,11,car,2559,739,2755,863,0.737
0.24,6,16,car,2152,667,2235,738,0.505
0.24,6,17,car,2409,631,2548,706,0.459
0.24,6,18,traffic sign,2672,114,3027,300,0.403
0.24,6,21,car,2405,686,2499,755,0.467
0.24,6,23,car,2495,690,2626,780,0.511
0.24,6,26,car,1372,591,1480,663,0.456
0.24,6,15,car,2103,630,2178,702,0.501
0.24,6,13,car,1585,535,1673,593,0.413
0.28,7,1,car,301,1067,744,1405,0.846
0.28,7,2,car,1446,928,1720,1149,0.841
0.28,7,3,car,1816,867,2112,1141,0.805
0.28,7,4,car,2334,751,2552,912,0.714
0.28,7,5,car,2217,657,2395,798,0.785
0.28,7,6,car,610,980,907,1219,0.794
0.28,7,7,car,1764,621,1909,741,0.668
0.28,7,8,car,1964,623,2096,729,0.766
0.28,7,9,car,1120,851,1380,1070,0.751
0.28,7,10,traffic sign,3015,156,3125,298,0.663
0.28,7,11,car,2556,739,2751,862,0.753
0.28,7,16,car,2152,667,2235,738,0.508
0.28,7,17,car,2418,633,2543,699,0.413
0.28,7,21,car,2403,688,2495,755,0.483
0.28,7,23,car,2493,690,2628,784,0.529
0.28,7,26,car,1373,591,1480,663,0.583
0.28,7,15,car,2105,630,2180,702,0.512
0.28,7,13,car,1582,537,1669,594,0.442
0.28,7,19,car,722,882,969,1045,0.428
0.28,7,14,car,1474,565,1558,625,0.418
