timestamp_s,frame,class,x1,y1,x2,y2,confidence
0.0,0,person,966,506,1070,716,0.533
0.033,1,person,963,506,1073,718,0.602
0.067,2,person,964,504,1072,717,0.531
0.1,3,person,961,502,1077,717,0.634
0.1,3,person,366,495,472,710,0.406
0.133,4,person,959,504,1078,717,0.567
0.167,5,car,562,380,891,500,0.622
0.167,5,person,960,504,1075,718,0.517
0.2,6,person,960,506,1075,718,0.486
0.233,7,person,963,505,1076,716,0.512
0.233,7,car,561,385,911,499,0.417
0.267,8,person,964,508,1076,717,0.459
0.3,9,person,960,514,1076,720,0.421
0.333,10,car,618,386,939,505,0.581
0.367,11,car,617,387,959,510,0.811
0.4,12,car,623,386,973,512,0.8
0.4,12,person,957,512,1076,720,0.403
0.433,13,car,629,382,984,512,0.823
0.467,14,car,632,385,1003,517,0.825
0.5,15,car,665,384,1010,522,0.793
0.533,16,car,661,382,1035,534,0.84
0.533,16,person,1211,550,1337,713,0.413
0.567,17,car,640,378,1057,533,0.867
0.6,18,car,672,381,1069,532,0.867
0.6,18,person,1208,544,1338,713,0.431
0.633,19,car,660,385,1074,524,0.813
0.633,19,person,153,472,248,708,0.475
0.667,20,car,688,387,1105,530,0.896
0.667,20,person,162,487,247,703,0.498
0.7,21,car,652,384,1105,525,0.779
0.7,21,person,159,476,251,709,0.559
0.733,22,car,711,386,1139,536,0.752
0.733,22,person,160,480,256,710,0.624
0.767,23,car,743,390,1156,537,0.848
0.767,23,person,161,480,256,711,0.607
0.8,24,car,740,384,1153,532,0.921
0.8,24,person,159,480,261,711,0.595
0.833,25,car,758,386,1173,527,0.945
0.833,25,person,166,476,258,711,0.587
0.867,26,car,739,381,1190,532,0.914
0.867,26,person,164,470,264,714,0.633
0.867,26,person,832,471,922,668,0.407
0.9,27,car,754,385,1197,536,0.957
0.9,27,person,163,475,267,713,0.553
0.9,27,person,643,509,813,716,0.423
0.9,27,person,839,471,920,666,0.402
0.933,28,car,755,392,1233,537,0.877
0.933,28,person,164,483,266,713,0.501
0.967,29,car,812,392,1248,533,0.905
0.967,29,person,164,482,267,714,0.565
0.967,29,person,848,471,926,664,0.43
1.0,30,car,840,391,1263,540,0.92
1.0,30,person,162,481,268,716,0.517
1.0,30,person,848,464,936,670,0.45
1.033,31,car,855,393,1279,540,0.929
1.033,31,person,158,481,267,719,0.501
1.067,32,car,874,396,1282,541,0.95
1.067,32,person,159,484,267,719,0.488
1.1,33,car,871,390,1309,544,0.967
1.1,33,person,158,485,270,720,0.581
1.1,33,person,849,450,937,669,0.431
1.1,33,person,1317,552,1439,714,0.409
1.133,34,car,879,389,1325,544,0.978
1.133,34,person,153,488,270,720,0.504
1.133,34,person,1316,553,1438,714,0.406
1.167,35,car,895,391,1340,543,0.968
1.167,35,person,1306,555,1442,716,0.5
1.167,35,person,868,463,938,668,0.435
1.2,36,car,916,390,1354,547,0.974
1.2,36,person,1303,555,1435,715,0.48
1.2,36,person,870,454,940,673,0.434
1.2,36,person,577,542,750,711,0.41
1.233,37,car,931,385,1376,547,0.968
1.233,37,person,1291,547,1436,719,0.469
1.233,37,person,867,444,937,670,0.447
1.267,38,car,936,388,1398,548,0.96
1.267,38,person,878,442,935,633,0.468
1.267,38,person,1292,544,1440,720,0.433
1.3,39,car,955,390,1419,550,0.953
1.3,39,person,863,433,924,635,0.447
1.333,40,car,966,390,1433,549,0.967
1.333,40,person,872,448,934,631,0.443
1.367,41,car,997,391,1450,551,0.982
1.367,41,person,870,446,934,630,0.501
1.4,42,car,1015,391,1474,550,0.966
1.4,42,person,880,452,941,621,0.526
1.433,43,car,1023,389,1489,551,0.953
1.433,43,person,887,452,943,617,0.477
1.467,44,car,1041,391,1503,551,0.932
1.467,44,person,887,443,946,613,0.516
1.5,45,car,1064,393,1516,553,0.869
1.5,45,person,890,445,948,608,0.479
1.533,46,car,1070,394,1534,552,0.969
1.533,46,person,890,457,944,600,0.409
1.567,47,car,1081,394,1539,555,0.948
1.6,48,car,1090,392,1546,561,0.969
1.633,49,car,1106,392,1535,564,0.959
1.667,50,car,1141,394,1546,563,0.966
1.7,51,car,1156,394,1546,567,0.973
1.7,51,person,894,453,948,603,0.411
1.733,52,car,1157,395,1546,558,0.966
1.733,52,person,511,483,684,715,0.533
1.733,52,person,891,446,947,601,0.446
1.733,52,person,762,455,811,594,0.412
1.767,53,car,1171,396,1546,556,0.939
1.767,53,person,514,479,693,714,0.567
1.767,53,person,298,459,373,632,0.55
1.767,53,person,769,457,815,594,0.471
1.767,53,person,890,449,942,599,0.441
1.8,54,car,1191,398,1546,551,0.849
1.8,54,person,512,476,693,718,0.681
1.8,54,person,770,453,816,597,0.529
1.8,54,person,891,453,944,599,0.47
1.8,54,person,749,445,801,592,0.403
1.833,55,person,511,476,689,716,0.727
1.833,55,car,1214,397,1546,549,0.693
1.833,55,person,299,467,375,632,0.531
1.833,55,person,1290,510,1419,720,0.467
1.833,55,person,773,452,821,590,0.455
1.833,55,truck,1214,397,1546,543,0.426
1.867,56,person,510,487,683,711,0.627
1.867,56,person,1290,506,1417,720,0.603
1.867,56,person,775,453,825,593,0.475
1.867,56,truck,1227,396,1543,537,0.47
1.867,56,person,305,461,379,627,0.466
1.867,56,car,1229,396,1546,547,0.461
1.9,57,person,511,490,672,711,0.671
1.9,57,car,1244,408,1545,549,0.663
1.9,57,person,1292,503,1415,718,0.555
1.9,57,person,774,449,825,596,0.514
1.9,57,person,754,445,805,592,0.423
1.9,57,person,890,457,941,592,0.413
1.933,58,car,1276,409,1545,550,0.754
1.933,58,person,503,489,674,708,0.691
1.933,58,person,771,450,821,601,0.513
1.933,58,person,312,468,383,629,0.435
1.967,59,person,499,478,674,711,0.786
1.967,59,car,1285,407,1545,553,0.594
1.967,59,person,769,446,823,608,0.475
1.967,59,person,1290,513,1416,719,0.448
1.967,59,person,318,467,384,626,0.435
2.0,60,person,499,478,669,710,0.769
2.0,60,car,1303,402,1546,555,0.685
2.0,60,person,772,452,824,614,0.545
2.0,60,person,319,468,386,625,0.466
2.033,61,person,498,471,671,711,0.845
2.033,61,person,772,448,825,618,0.575
2.033,61,car,1317,397,1546,554,0.54
2.033,61,truck,1316,401,1546,555,0.488
2.033,61,person,320,462,387,626,0.47
2.033,61,person,193,501,330,717,0.423
2.067,62,person,498,474,674,709,0.78
2.067,62,car,1337,400,1546,554,0.67
2.067,62,person,767,444,828,618,0.561
2.1,63,person,501,474,668,706,0.741
2.1,63,person,766,444,827,617,0.563
2.1,63,person,198,503,341,718,0.492
2.133,64,person,767,442,832,615,0.55
2.133,64,person,517,491,664,705,0.461
2.133,64,person,326,463,395,625,0.459
2.167,65,person,778,453,834,605,0.53
2.167,65,person,333,473,399,630,0.459
2.2,66,person,775,457,831,602,0.472
2.2,66,person,333,468,401,631,0.455
2.233,67,person,783,457,839,596,0.478
2.233,67,person,338,479,404,630,0.402
2.267,68,person,780,456,836,597,0.484
2.3,69,person,782,450,845,605,0.532
2.333,70,person,776,451,834,608,0.629
2.367,71,person,782,447,844,611,0.531
2.367,71,person,372,465,442,622,0.454
2.4,72,person,372,460,442,623,0.568
2.4,72,person,784,447,846,604,0.442
2.433,73,person,370,459,440,620,0.432
2.433,73,person,785,444,843,600,0.407
2.467,74,person,376,455,443,619,0.437
2.467,74,person,782,448,840,604,0.422
2.5,75,person,703,450,756,605,0.468
2.5,75,person,778,438,837,599,0.422
2.5,75,person,370,451,441,621,0.416
2.533,76,person,372,451,444,615,0.457
2.533,76,person,706,458,763,605,0.423
2.533,76,person,777,449,837,603,0.414
2.567,77,person,780,441,841,603,0.459
2.567,77,person,702,458,755,600,0.453
2.567,77,person,374,450,445,615,0.43
2.6,78,person,783,443,840,600,0.406
2.633,79,person,790,446,847,599,0.434
2.667,80,person,718,458,773,598,0.454
2.667,80,person,777,451,831,597,0.426
2.733,82,person,267,490,413,709,0.505
2.733,82,person,714,455,768,600,0.462
2.733,82,person,781,451,833,590,0.422
2.767,83,person,721,463,779,596,0.447
2.8,84,person,276,485,417,713,0.565
2.833,85,person,717,454,776,591,0.428
2.867,86,person,727,457,787,598,0.558
3.033,91,person,731,460,793,591,0.465
3.067,92,person,732,453,792,585,0.408
3.133,94,person,736,446,798,588,0.427
3.167,95,person,735,450,800,602,0.506
3.2,96,person,741,445,803,597,0.452
3.333,100,person,772,446,826,587,0.418
3.333,100,person,1189,478,1257,611,0.403
3.367,101,person,768,452,824,598,0.511
3.4,102,person,773,453,833,590,0.424
3.4,102,person,1169,547,1351,718,0.423
3.433,103,person,1169,562,1367,719,0.582
3.433,103,person,771,450,836,606,0.537
3.433,103,person,1462,457,1522,635,0.404
3.467,104,person,1176,562,1369,719,0.505
3.467,104,person,767,456,824,604,0.501
3.467,104,person,1460,459,1524,636,0.41
3.5,105,person,769,448,828,599,0.499
3.5,105,person,1183,559,1365,719,0.441
3.5,105,person,0,528,117,720,0.414
3.5,105,person,1462,467,1524,636,0.408
3.533,106,person,772,453,831,600,0.567
3.533,106,person,1186,563,1369,719,0.479
3.533,106,person,1464,475,1527,639,0.441
