epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2784.81,1.75732,1.99406,1.2703,0.57208,0.37116,0.37671,0.17161,1.73032,1.5912,1.29716,0.000332389,0.000332389,0.000332389
2,5464.8,1.7086,1.43476,1.27301,0.51233,0.39034,0.39801,0.18344,1.70077,1.42048,1.27824,0.000649246,0.000649246,0.000649246
3,9784.03,1.6966,1.32188,1.26818,0.46133,0.43094,0.39404,0.18387,1.69418,1.31432,1.2566,0.000949602,0.000949602,0.000949602
4,12653.3,1.66819,1.23588,1.25591,0.52823,0.4422,0.40528,0.18367,1.73015,1.30183,1.28051,0.00092575,0.00092575,0.00092575
5,15447.5,1.64409,1.18529,1.24226,0.558,0.46028,0.45993,0.21237,1.68268,1.17129,1.26185,0.000901,0.000901,0.000901
6,18665.8,1.63555,1.15053,1.23563,0.56469,0.48489,0.48604,0.23269,1.65729,1.1212,1.25366,0.00087625,0.00087625,0.00087625
7,28601.1,1.60937,1.11914,1.22399,0.57744,0.49459,0.49264,0.23423,1.62436,1.11802,1.24115,0.0008515,0.0008515,0.0008515
8,30709.4,1.59973,1.10659,1.21794,0.53848,0.51948,0.49279,0.2371,1.65334,1.10092,1.25634,0.00082675,0.00082675,0.00082675
9,32857.1,1.58873,1.08263,1.21183,0.61005,0.49467,0.5088,0.24448,1.65979,1.10506,1.24548,0.000802,0.000802,0.000802
10,34967.7,1.5835,1.06412,1.20305,0.56306,0.50879,0.50241,0.24052,1.62989,1.06312,1.22857,0.00077725,0.00077725,0.00077725
